Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Max V.,/user_details?userid=EuY3oVWieOxOtIsG8L53PA,"New York, NY",3/29/2021,5.0,"Cozy atmosphere with plenty of outdoor seating. Excellent wine list. Order the Burrata with squid ink sauce, the pork belly or the lamb rack.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa W.,/user_details?userid=_fZdEEc2JtkwZaO9okflTQ,"Long Beach, CA",10/10/2017,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lashonda T.,/user_details?userid=2I7aDbezG-L_j-OBuzpbiQ,"Newark, DE",10/21/2017,3.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John D.,/user_details?userid=Q6tfhSr5w272FTpYqxy4rQ,"New York, NY",10/7/2021,5.0,"Maite is incredible, the lamb may have been the best I've ever had. Love the atmosphere inside, amazing staff and awesome drinks.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amanda M.,/user_details?userid=43srb756pFcNQ_b8R-HpIA,"Honolulu, HI",9/11/2017,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexi T.,/user_details?userid=8Ixz8XXsL767OYEdJBqQSg,"Brooklyn, NY",7/11/2020,5.0,Maite has the yummiest food in Brooklyn!!Everything is lovingly prepared with farm to table ingredients. Absolutely superb. I'm happiest when eating a duck egg arepa...must try.,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Steph M.,/user_details?userid=pN6Q9XUDnOcEwGbIrmZQ-A,"Brooklyn, NY",5/5/2021,5.0,Love this restaurant! Favorite spot in Brooklyn. Food is incredible and great service. Definitely check out this spot!!,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lily Z.,/user_details?userid=eblBcsp3bijC8Wsc_tAeHg,"Brooklyn, NY",7/8/2017,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Juliana M.,/user_details?userid=UFOyC5nmFpJc_kiWblA05A,"Boca Raton, FL",6/5/2017,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex K.,/user_details?userid=lA3_CtpgfWsdjzzfqgrdPg,"Miami Beach, FL",7/20/2018,2.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
