Jean H.,/user_details?userid=xoS3ka6gEEJhNMTUs3X_5g,"Evansville, IN",11/28/2021,4.0,"Ordered take out. I got the create your own - jasmine rice, wild mushroom & salt & pepper shrimp. The shrimp had very good flavor. I was a little surprised by the mushroom. I was expecting something different but overall it still taste good. It reminds me of seaweed.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Clari B.,/user_details?userid=LO_uLZ2ya4VC4JSXqzSFKA,"Brooklyn, NY",2/27/2022,1.0,One and done. With the amount of places that serve dim sum this is not worth another try. Ordered about five different dumplings and a duck appetizer. The duck was oily and the paper wrapping was hard to distinguish. The dumpling fillings were flavorful and definitely worthy of a bit of a yummy praise however the dumpling masa (dough) was so thick and on some so mushy it was unpleasant and inedible. Overall I'd say try any of the many other spots around. (Note: my eats were pre-covid times).,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Priyanka M.,/user_details?userid=rCJLUU5P8ndv2gBKEzX5Dw,"New York, NY",1/17/2022,5.0,"Ordered the dan dan noodles, duck wrap, and soup dumplings-- all absolutely delicious. Can't believe this place doesn't have a 5 star rating! Can't wait to try everything else.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole L.,/user_details?userid=YfHI1VGOqQ45_67chdhBkg,"Fort Lauderdale, FL",11/19/2021,5.0,"I'm so glad I tried this place again. It's not somewhere I would dine in at, but the food is amazing. I can't get over how good the braised beef was. It was succulent and the flavor was perfect. The smashed cucumbers were also sooo good. I wanted more! I liked the option for Korean style multigrain rice. The duck roll is also awesome. It's super flavorful. I came back just for that. The chicken wings are very crisp fried Korean fried chicken style. My friend raved about the dumplings - he had pork and chive and chicken and cabbage. To me they seem standard. He couldn't tell which was which but was very happy and ate every drop. I do wish the dine in experience was better. It's definitely more of a takeout place. Oh and the customer service was great! I accidentally placed my online order to the Park Slope location, and when I called to cancel they transferred the order for me. They made it nice and easy for me, which I really appreciated. Will be back!",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nataliya O.,/user_details?userid=FAECsJM6cSX9pYlj8oCCyA,"New York, NY",2/1/2022,5.0,Great fresh food. They forgot to enter one of the dishes but it turned out fine because we were pretty full by dish #3. Would definitely go back again.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samir A.,/user_details?userid=lsJcUIk6invb0nsQeDQxNQ,"Somerville, MA",9/20/2022,5.0,"Fantastic spicy wontons, hot and sour soup, and duck wrap. Highly recommend late night takeout",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica G.,/user_details?userid=IVhYq3z7dFDFjtHgWjkaSw,"Manhattan, NY",3/30/2022,5.0,Everything was bomb. The Taiwanese fried chicken wrap was my favorite. Love that they're open later than most places these days.,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gera C.,/user_details?userid=omZEMy85NZsedNT0kg0wGA,"Brooklyn, NY",3/7/2022,5.0,Amazing food and the lady at the register is a Doll .. I love this place .. Williamsburg does have it all,https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Javier M.,/user_details?userid=w--Yxpn1aM1L45-6wY-zdQ,"Brooklyn, NY",5/23/2021,5.0,"More like Mr WOW! The food is incredible. Just take a look at the picture attached to this review. If that isn't beautiful, idk what is then. I have to say that the meat was so tender, I could just bite it off with my mouth without using utensils. I do not recommend. Less so if you are on a date. But that tells you how good that was. Maybe the rice could have been more on point but everything else was delicious.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica W.,/user_details?userid=bwHKOfs4qScvV__Dc4dBIQ,"Brooklyn, Brooklyn, NY",1/31/2022,5.0,"The staff is so friendly. All the food is delicious and fresh, been there several times and it has always come out really fast. A great place to go, especially if you're gluten free, they cook many dishes with tamari and the staff is knowledgeable about many allergies.",https://www.yelp.com/biz/mr-bao-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
